transaction_id,scenario,expected_outcome,expected_settlement_id,expected_refund_id,notes
TXN000060,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000060,NONE,Synthetic MDR fee deduction (2.00%): ₹5000.00 -> ₹4900.00 (Fee: ₹100.00).
TXN000061,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000061,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000062,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000062,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000063,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000063,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000064,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000064,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000065,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000065,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000066,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000066,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000067,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000067,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000068,MISSING_TRANSACTION_ID,CANDIDATE_MATCH,SET000068,NONE,"Settlement has no transaction_id; candidate match must be determined via merchant, amount, and timestamp."
TXN000069,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000070,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000071,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000072,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000073,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000074,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000075,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN000076,MISSING_SETTLEMENT,MISSING_SETTLEMENT,NONE,NONE,Payment succeeded internally but no settlement record exists in the settlement batch.
TXN_UNKNOWN_954496,ORPHAN_SETTLEMENT,ORPHAN_SETTLEMENT,SET000069,NONE,Settlement record received from bank with no corresponding internal payment record.
TXN_UNKNOWN_975456,ORPHAN_SETTLEMENT,ORPHAN_SETTLEMENT,SET000070,NONE,Settlement record received from bank with no corresponding internal payment record.
TXN_UNKNOWN_954921,ORPHAN_SETTLEMENT,ORPHAN_SETTLEMENT,SET000071,NONE,Settlement record received from bank with no corresponding internal payment record.
TXN_UNKNOWN_963993,ORPHAN_SETTLEMENT,ORPHAN_SETTLEMENT,SET000072,NONE,Settlement record received from bank with no corresponding internal payment record.
TXN_UNKNOWN_944057,ORPHAN_SETTLEMENT,ORPHAN_SETTLEMENT,SET000073,NONE,Settlement record received from bank with no corresponding internal payment record.
TXN000077,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT,SET000074,NONE,Settlement arrived 6 days after payment (exceeds standard T+2 window).
TXN000078,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT,SET000075,NONE,Settlement arrived 8 days after payment (exceeds standard T+2 window).
TXN000079,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT,SET000076,NONE,Settlement arrived 13 days after payment (exceeds standard T+2 window).
TXN000080,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT,SET000077,NONE,Settlement arrived 10 days after payment (exceeds standard T+2 window).
TXN000081,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT,SET000078,NONE,Settlement arrived 9 days after payment (exceeds standard T+2 window).
TXN000082,DELAYED_SETTLEMENT,DELAYED_SETTLEMENT,SET000079,NONE,Settlement arrived 6 days after payment (exceeds standard T+2 window).
TXN000083,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,SET000080,NONE,Partial settlement payout: ₹6000.00 of ₹10000.00.
TXN000084,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,SET000081,NONE,Partial settlement payout: ₹6000.00 of ₹10000.00.
TXN000085,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,SET000082,NONE,Partial settlement payout: ₹6000.00 of ₹10000.00.
TXN000086,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,SET000083,NONE,Partial settlement payout: ₹6000.00 of ₹10000.00.
TXN000087,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,SET000084,NONE,Partial settlement payout: ₹6000.00 of ₹10000.00.
TXN000088,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,"SET000085,SET000086",NONE,Two distinct settlement records submitted for a single payment transaction.
TXN000089,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,"SET000087,SET000088",NONE,Two distinct settlement records submitted for a single payment transaction.
TXN000090,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,"SET000089,SET000090",NONE,Two distinct settlement records submitted for a single payment transaction.
TXN000091,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,"SET000091,SET000092",NONE,Two distinct settlement records submitted for a single payment transaction.
TXN000092,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT,"SET000093,SET000094",NONE,Two distinct settlement records submitted for a single payment transaction.
TXN000093,FULL_REFUND,FULL_REFUND,SET000095,REF000001,Full refund completed. Complete lifecycle: PAID -> SETTLED -> FULL_REFUND.
TXN000094,FULL_REFUND,FULL_REFUND,SET000096,REF000002,Full refund completed. Complete lifecycle: PAID -> SETTLED -> FULL_REFUND.
TXN000095,FULL_REFUND,FULL_REFUND,SET000097,REF000003,Full refund completed. Complete lifecycle: PAID -> SETTLED -> FULL_REFUND.
TXN000096,FULL_REFUND,FULL_REFUND,SET000098,REF000004,Full refund completed. Complete lifecycle: PAID -> SETTLED -> FULL_REFUND.
TXN000097,FULL_REFUND,FULL_REFUND,SET000099,REF000005,Full refund completed. Complete lifecycle: PAID -> SETTLED -> FULL_REFUND.
TXN000098,FULL_REFUND,FULL_REFUND,SET000100,REF000006,Full refund completed. Complete lifecycle: PAID -> SETTLED -> FULL_REFUND.
TXN000099,PARTIAL_REFUND,PARTIAL_REFUND,SET000101,REF000007,Partial refund of ₹2000.00 on original payment of ₹5000.00.
TXN000100,PARTIAL_REFUND,PARTIAL_REFUND,SET000102,REF000008,Partial refund of ₹2000.00 on original payment of ₹5000.00.
TXN000101,PARTIAL_REFUND,PARTIAL_REFUND,SET000103,REF000009,Partial refund of ₹2000.00 on original payment of ₹5000.00.
TXN000102,PARTIAL_REFUND,PARTIAL_REFUND,SET000104,REF000010,Partial refund of ₹2000.00 on original payment of ₹5000.00.
TXN000103,PARTIAL_REFUND,PARTIAL_REFUND,SET000105,REF000011,Partial refund of ₹2000.00 on original payment of ₹5000.00.
TXN000104,PARTIAL_REFUND,PARTIAL_REFUND,SET000106,REF000012,Partial refund of ₹2000.00 on original payment of ₹5000.00.
TXN000105,ROUNDING_DIFFERENCE,AMOUNT_MISMATCH,SET000107,NONE,Small deterministic rounding difference of ₹-0.01 (₹1000.00 vs ₹999.99).
TXN000106,ROUNDING_DIFFERENCE,AMOUNT_MISMATCH,SET000108,NONE,Small deterministic rounding difference of ₹0.01 (₹1000.00 vs ₹1000.01).
TXN000107,ROUNDING_DIFFERENCE,AMOUNT_MISMATCH,SET000109,NONE,Small deterministic rounding difference of ₹-0.01 (₹1000.00 vs ₹999.99).
TXN000108,ROUNDING_DIFFERENCE,AMOUNT_MISMATCH,SET000110,NONE,Small deterministic rounding difference of ₹-0.01 (₹1000.00 vs ₹999.99).
TXN000109,ROUNDING_DIFFERENCE,AMOUNT_MISMATCH,SET000111,NONE,Small deterministic rounding difference of ₹-0.01 (₹1000.00 vs ₹999.99).
TXN000110,ROUNDING_DIFFERENCE,AMOUNT_MISMATCH,SET000112,NONE,Small deterministic rounding difference of ₹-0.01 (₹1000.00 vs ₹999.99).
TXN000111,AMBIGUOUS_CANDIDATES,AMBIGUOUS,"SET000113,SET000114",NONE,Two equally plausible settlements exist with identical merchant/amount and proximate timestamps.
TXN000112,AMBIGUOUS_CANDIDATES,AMBIGUOUS,"SET000115,SET000116",NONE,Two equally plausible settlements exist with identical merchant/amount and proximate timestamps.
TXN000113,AMBIGUOUS_CANDIDATES,AMBIGUOUS,"SET000117,SET000118",NONE,Two equally plausible settlements exist with identical merchant/amount and proximate timestamps.
TXN000114,AMBIGUOUS_CANDIDATES,AMBIGUOUS,"SET000119,SET000120",NONE,Two equally plausible settlements exist with identical merchant/amount and proximate timestamps.
TXN000115,UNRESOLVED,UNRESOLVED,NONE,NONE,Insufficient terminal status and no matching settlement records exist.
TXN000116,UNRESOLVED,UNRESOLVED,NONE,NONE,Insufficient terminal status and no matching settlement records exist.
TXN000117,UNRESOLVED,UNRESOLVED,NONE,NONE,Insufficient terminal status and no matching settlement records exist.
TXN000118,UNRESOLVED,UNRESOLVED,NONE,NONE,Insufficient terminal status and no matching settlement records exist.
